Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId,Cluster
96.0,Lampung,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,96.0,3667,0
97.0,Riau,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,97.0,3668,0
98.0,Maluku Utara,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,98.0,3669,0
99.0,Maluku,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,99.0,3670,0
100.0,Papua Barat,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,100.0,3671,0
101.0,Papua,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,101.0,3672,0
102.0,Sulawesi Barat,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,102.0,3673,0
103.0,Nusa Tenggara Timur,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,103.0,3674,0
104.0,Gorontalo,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,104.0,3675,0
105.0,Indonesia,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,105.0,3676,0
106.0,Aceh,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,106.0,3677,0
107.0,Bali,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,107.0,3678,0
108.0,Banten,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,108.0,3679,0
109.0,Kepulauan Bangka Belitung,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,109.0,3680,0
110.0,Bengkulu,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,110.0,3681,0
111.0,Daerah Istimewa Yogyakarta,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,111.0,3682,0
112.0,DKI Jakarta,2020/03/05 00:00:00+00,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00000,0.00000,112.0,3683,0
113.0,Jambi,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,113.0,3684,0
114.0,Jawa Barat,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,114.0,3685,0
115.0,Jawa Tengah,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,115.0,3686,0
116.0,Jawa Timur,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,116.0,3687,0
117.0,Kalimantan Barat,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,117.0,3688,0
118.0,Kalimantan Timur,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,118.0,3689,0
119.0,Kalimantan Tengah,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,119.0,3690,0
